ix_name,prefix
SIX.SK,2001:7f8:2f::/64
SIX.SK Košice,192.108.145.0/24
RINEX,2001:43f8:150::/48
RINEX,196.223.12.0/24
NAP.EC - UIO,200.1.6.0/24
NAP.EC - UIO,2001:13c7:6006::/48
MegaIX Singapore,103.41.12.0/22
MegaIX Singapore,2001:ded::/48
MegaIX Hong Kong,103.48.48.0/23
MegaIX Hong Kong,2001:def::/48
MidWest-IX - Indy,2001:504:45:f3e8::/64
MidWest-IX - Indy,206.53.139.0/24
CABASE-BUE,200.0.17.0/24
CABASE-BUE,2001:13c7:6001::/64
BREM-IX,185.1.35.0/24
BREM-IX,2001:7f8:92::/64
NIX.SK,194.30.187.0/24
NIX.SK,2001:7f8:91::/64
UA-IX,2001:7f8:5d::/116
CABASE-LPL,200.115.81.0/24
CABASE-POS,200.115.83.0/24
CABASE-NQN,200.0.19.0/24
CABASE-ROS,200.13.83.0/24
CABASE-BHB,200.14.37.0/24
CABASE-COR,200.14.75.0/24
CABASE-DLC,200.14.39.0/24
CABASE-MDQ,200.115.82.0/24
CABASE-MZA,200.14.38.0/24
CABASE-PMY,200.115.84.0/24
CABASE-SFE,200.14.74.0/24
NDB,2001:478:122::/64
MASS-IX,206.53.143.0/24
MASS-IX,2001:504:47::/64
Global-IX,109.239.136.0/23
Global-IX,2001:b28:3ff::/64
HKIX,123.255.88.0/21
JPNAP Tokyo,210.173.176.0/24
JPNAP Tokyo,2001:7fa:7:1::/64
JPNAP Tokyo 2,218.100.45.0/24
JPNAP Tokyo 2,2001:7fa:7:3::/64
France-IX Marseille,2001:7f8:54:5::/64
SAIX,2001:7f8:11::/64
SAIX,185.1.43.0/24
GE-CIX,80.94.94.0/23
GE-CIX,2a06:2340::/64
IIX-RI,103.54.2.0/23
JPNAP Osaka,210.173.178.0/25
JPNAP Osaka,2001:7fa:7:2::/64
EPIX.Katowice,195.191.170.0/23
EPIX.Katowice,2001:7f8:5b::/64
TREX,195.140.192.0/24
TREX,2001:7f8:1d:4::/64
BKNIX,203.159.68.0/23
BKNIX,2001:deb:0:68::/64
MARTINIX,194.254.208.128/27
npIX PTS,198.32.231.0/25
npIX PTS,2404:2c00:ffff:e::/64
npIX JWL,2404:2c00:ffff:f::/64
YEGIX,206.53.140.0/24
YEGIX,2001:504:46::/48
KIVIX,185.1.45.0/24
KIVIX,2001:7f8:2e::/48
Balcan-IX,80.97.248.0/23
Balcan-IX,2a02:d10:80::/64
NIXVAL-ix,213.162.194.0/24
NIXVAL-ix,2a02:23a0:1111:9999::/64
CHN-IX Beijing,106.48.34.0/23
POZIX,185.1.4.0/24
POZIX,2001:7f8:4b::/48
MegaIX Seattle,206.53.171.0/24
MegaIX Seattle,2606:a980:0:4::/64
MegaIX Los Angeles,206.53.172.0/24
MegaIX Los Angeles,2606:a980:0:5::/64
MegaIX Bay Area,206.53.169.0/24
MegaIX Bay Area,2606:a980:0:2::/64
MegaIX Chicago,206.53.168.0/24
MegaIX Chicago,2606:a980:0:1::/64
MegaIX Ashburn,206.53.170.0/24
MegaIX Ashburn,2606:a980:0:3::/64
MegaIX Dallas,206.53.174.0/24
MegaIX Dallas,2606:a980:0:7::/64
SYMC-IX Bangkok,103.14.9.0/24
SYMC-IX Bangkok,2400:6280:2::/64
RIX,195.130.211.0/26
RIX,2001:7f8:48::/64
NIX,2001:7f8:12:1::/64
IX-Denver,206.53.175.0/24
IX-Denver,2001:504:58::/64
NIX2,2001:7f8:12:2::/64
MGMix Montgomery,206.53.200.0/24
DE-CIX Dusseldorf,185.1.58.0/24
DE-CIX Dusseldorf,2001:7f8:9e::/64
CHN-IX Beijing,2405:3b00::/64
Equinix Singapore,27.111.228.0/22
CODIX,185.1.23.0/24
MSK-IX Moscow,195.208.208.0/21
MGMix Montgomery,2001:504:59::/64
SMILE-LV,195.246.227.0/24
SMILE-LV,2001:7f8:16::/64
KINX,192.145.251.0/24
KINX,2001:7fa:8::/64
AuvernIX,185.1.2.0/25
AuvernIX,2001:7f8:81::/56
SIX Seattle (Jumbo),2001:504:16:1::/64
W-IX,193.106.112.0/24
W-IX,2a00:1b30::/64
DE-CIX Dallas,206.53.202.0/24
DE-CIX Dallas,2001:504:61::/64
N-IX,195.85.217.0/24
N-IX,2001:7f8:29:1::/64
DINX,196.223.30.0/24
DINX,2001:43f8:1f2::/64
INEX Cork,185.1.69.0/24
INEX Cork,2001:7f8:18:210::/64
RED-IX,185.1.13.0/24
RED-IX,2001:7f8:78::/48
KRS-IX,217.117.187.0/24
BR-IX,185.1.25.0/24
BR-IX,2001:7f8:87::/64
DE-CIX Madrid,185.1.68.0/24
DE-CIX Madrid,2001:7f8:a0::/64
IX.br (PTT.br) Foz do Iguaçu,187.16.204.0/24
CHN-IX Guangzhou,106.48.36.0/23
CHN-IX Guangzhou,2405:3b01::/64
VANIX,206.41.104.0/24
VANIX,2001:504:39::/64
AuvernIX,185.1.2.128/25
AuvernIX,2001:7f8:81:100::/56
NIXI Delhi,218.100.48.0/26
MegaIX Toronto,206.53.203.0/24
MegaIX Toronto,2606:a980:0:8::/64
GigaNET,2001:7f8:6c::/64
GigaNET,185.1.62.0/23
IX Liverpool,185.1.71.0/25
IX Liverpool,2001:7f8:a2::/50
IX Liverpool,185.1.71.128/25
IX Liverpool,2001:7f8:a2:4000::/50
Netnod COMIX,195.69.117.0/24
Netnod COMIX,195.69.118.0/24
Netnod COMIX,2001:7f8:d:200::/64
Netnod COMIX,2001:7f8:d:201::/64
Hopus,37.77.32.0/20
Hopus,2a02:e5c::/32
BW-IX Stuttgart / S-IX,2001:7f8:56::/64
Extreme IX New Delhi,45.120.248.0/24
Doha-IX,198.32.72.0/24
Doha-IX,2001:1a10:cd:2::/64
TahoeIX,206.41.109.0/24
TahoeIX,2001:504:3f::/48
DF-IX,185.1.32.0/24
DF-IX,2001:7f8:8f::/48
United Peering - UP-IXP,185.1.54.0/24
United Peering - UP-IXP,2001:7f8:95::/48
MGIX,196.223.41.0/24
MGIX,2001:43f8:a10::/48
EURASIA:peering,185.1.67.0/24
JetPeer IX,115.42.32.0/24
China Internet Exchange,103.216.40.0/23
China Internet Exchange,2404:e780:f872:a::/64
DIX,2001:7f8:1f::/64
DE-CIX Frankfurt,2001:7f8:e1::/64
Beirut IX,185.91.96.0/22
Mumbai Internet Exchange,103.27.170.0/24
Mumbai Internet Exchange,2401:7500:fff6::/64
EPIX.Warszawa-KIX,91.212.9.0/24
EPIX.Warszawa-KIX,2001:7f8:69::/64
CHN-IX Shanghai,106.48.38.0/23
CHN-IX Shanghai,2405:3b02::/64
DataLine-IX,2001:7f8:62:52::/64
DataLine-IX,185.1.52.0/24
FICIX Espoo,193.110.226.0/24
FICIX Espoo,2001:7f8:7:a::/64
FICIX Espoo,2001:7f8:7::/64
FICIX Helsinki,2001:7f8:7:1::/64
FICIX Oulu,193.110.225.0/24
FICIX Oulu,2001:7f8:7:c::/64
FICIX Oulu,2001:7f8:7:2::/64
Phoenix IX,2001:504:3b:1::/64
Community-IX,185.1.74.0/26
Community-IX,2001:7f8:a5::/64
Equinix Melbourne,183.177.61.0/24
Equinix Melbourne,2001:de8:6:1::/64
Equinix Osaka,203.190.227.0/24
Equinix Osaka,2001:de8:5:1::/64
Equinix Zurich,2001:7f8:c:8235:194:42:48:0/112
